sample,condition,raw
BRAIN_01,Healthy,2567
BRAIN_01,Healthy,4211
BRAIN_01,Healthy,16519
BRAIN_01,Healthy,3780
BRAIN_01,Healthy,17136
BRAIN_01,Healthy,5188
BRAIN_01,Healthy,17313
BRAIN_01,Healthy,9678
BRAIN_01,Healthy,4472
BRAIN_01,Healthy,4837
BRAIN_01,Healthy,1344
BRAIN_01,Healthy,5294
BRAIN_01,Healthy,14960
BRAIN_01,Healthy,3131
BRAIN_01,Healthy,2238
BRAIN_01,Healthy,3388
BRAIN_01,Healthy,18506
BRAIN_01,Healthy,2333
BRAIN_01,Healthy,9160
BRAIN_01,Healthy,11441
BRAIN_01,Healthy,2968
BRAIN_01,Healthy,1661
BRAIN_01,Healthy,2311
BRAIN_01,Healthy,2550
BRAIN_01,Healthy,7150
BRAIN_01,Healthy,20309
BRAIN_01,Healthy,6941
BRAIN_01,Healthy,1911
BRAIN_01,Healthy,4086
BRAIN_01,Healthy,15690
BRAIN_01,Healthy,12881
BRAIN_01,Healthy,11082
BRAIN_01,Healthy,7610
BRAIN_01,Healthy,8261
BRAIN_01,Healthy,3363
BRAIN_01,Healthy,12869
BRAIN_01,Healthy,5458
BRAIN_01,Healthy,7592
BRAIN_01,Healthy,5574
BRAIN_01,Healthy,3801
BRAIN_01,Healthy,3056
BRAIN_01,Healthy,2497
BRAIN_01,Healthy,18770
BRAIN_01,Healthy,14748
BRAIN_01,Healthy,10115
BRAIN_01,Healthy,10583
BRAIN_01,Healthy,3278
BRAIN_01,Healthy,1391
BRAIN_01,Healthy,14004
BRAIN_01,Healthy,13302
BRAIN_01,Healthy,2411
BRAIN_01,Healthy,6824
BRAIN_01,Healthy,11288
BRAIN_01,Healthy,21947
BRAIN_01,Healthy,3844
BRAIN_01,Healthy,1006
BRAIN_01,Healthy,14131
BRAIN_01,Healthy,13664
BRAIN_01,Healthy,9145
BRAIN_01,Healthy,3914
BRAIN_01,Healthy,11309
BRAIN_01,Healthy,20311
BRAIN_01,Healthy,3439
BRAIN_01,Healthy,11060
BRAIN_01,Healthy,11426
BRAIN_01,Healthy,8860
BRAIN_01,Healthy,3952
BRAIN_01,Healthy,3604
BRAIN_01,Healthy,9574
BRAIN_01,Healthy,6179
BRAIN_01,Healthy,2785
BRAIN_01,Healthy,21063
BRAIN_01,Healthy,18411
BRAIN_01,Healthy,2162
BRAIN_01,Healthy,8374
BRAIN_01,Healthy,3618
BRAIN_01,Healthy,8954
BRAIN_01,Healthy,6161
BRAIN_01,Healthy,13278
BRAIN_01,Healthy,11282
BRAIN_01,Healthy,7219
BRAIN_01,Healthy,9255
BRAIN_01,Healthy,11148
BRAIN_01,Healthy,13772
BRAIN_01,Healthy,6386
BRAIN_01,Healthy,2867
BRAIN_01,Healthy,19634
BRAIN_01,Healthy,2112
BRAIN_01,Healthy,14164
BRAIN_01,Healthy,7809
BRAIN_01,Healthy,8443
BRAIN_01,Healthy,14629
BRAIN_01,Healthy,1356
BRAIN_01,Healthy,14488
BRAIN_01,Healthy,9325
BRAIN_01,Healthy,2423
BRAIN_01,Healthy,8742
BRAIN_01,Healthy,3019
BRAIN_01,Healthy,8099
BRAIN_01,Healthy,2298
BRAIN_01,Healthy,2371
BRAIN_01,Healthy,14257
BRAIN_01,Healthy,21803
BRAIN_01,Healthy,4582
BRAIN_01,Healthy,2702
BRAIN_01,Healthy,10823
BRAIN_01,Healthy,15704
BRAIN_01,Healthy,10424
BRAIN_01,Healthy,1346
BRAIN_01,Healthy,5672
BRAIN_01,Healthy,26983
BRAIN_01,Healthy,1530
BRAIN_01,Healthy,16654
BRAIN_01,Healthy,1306
BRAIN_01,Healthy,4243
BRAIN_01,Healthy,8685
BRAIN_01,Healthy,32531
BRAIN_01,Healthy,1476
BRAIN_01,Healthy,10922
BRAIN_01,Healthy,15908
BRAIN_01,Healthy,27724
BRAIN_01,Healthy,13511
BRAIN_01,Healthy,4724
BRAIN_01,Healthy,14921
BRAIN_01,Healthy,7077
BRAIN_01,Healthy,2729
BRAIN_01,Healthy,4141
BRAIN_01,Healthy,3568
BRAIN_01,Healthy,2189
BRAIN_01,Healthy,25191
BRAIN_01,Healthy,11240
BRAIN_01,Healthy,18582
BRAIN_01,Healthy,2695
BRAIN_01,Healthy,12874
BRAIN_01,Healthy,2620
BRAIN_01,Healthy,2565
BRAIN_01,Healthy,2886
BRAIN_01,Healthy,13463
BRAIN_01,Healthy,20630
BRAIN_01,Healthy,10362
BRAIN_01,Healthy,6321
BRAIN_01,Healthy,2551
BRAIN_01,Healthy,4546
BRAIN_01,Healthy,8844
BRAIN_01,Healthy,22533
BRAIN_01,Healthy,7087
BRAIN_01,Healthy,9467
BRAIN_01,Healthy,14929
BRAIN_01,Healthy,11423
BRAIN_01,Healthy,1717
BRAIN_01,Healthy,4128
BRAIN_01,Healthy,14779
BRAIN_01,Healthy,1997
BRAIN_01,Healthy,8577
BRAIN_01,Healthy,5804
BRAIN_01,Healthy,3212
BRAIN_01,Healthy,19657
BRAIN_01,Healthy,9860
BRAIN_01,Healthy,9275
BRAIN_01,Healthy,12143
BRAIN_01,Healthy,1773
BRAIN_01,Healthy,10677
BRAIN_01,Healthy,6988
BRAIN_01,Healthy,7678
