UMAP_1,UMAP_2,Level_3
12.133714063341166,3.14276584946075,Microglia
11.615560872728372,6.173893302311091,Microglia
12.405528409654645,5.042899936069636,Microglia
-8.205779688184712,0.21751823984542387,OPC/COP/OLG
0.988819105798746,9.481978267063289,Neural
-6.297861234968161,-13.316514164577336,OPC/COP/OLG
-6.383836881940817,-11.893575817714543,OPC/COP/OLG
-6.401247160261129,-12.06410613692841,OPC/COP/OLG
-8.076352732007955,0.10547028445163267,OPC/COP/OLG
12.032270772630715,6.579359858860164,Microglia
-0.9635560677699796,14.836307376255183,Choroid
-7.973987238233541,0.5862162407533218,OPC/COP/OLG
-1.3347304032497158,14.156171649326472,Choroid
-4.612210886304831,11.25709518753448,Ambiguous
12.70114074485972,4.14085516296783,Microglia
-14.416191713636373,-3.7063988748892256,Endothelial
-13.071546213453267,-3.796725660930486,Endothelial
10.591663701707866,7.221758693088679,Microglia
-5.828196661298727,-13.241274983058782,OPC/COP/OLG
-0.6103782222919216,13.959997981418756,Choroid
-13.28653778297231,-4.200778156886907,Endothelial
-7.979238169019674,10.319151728977351,Astrocyte
12.825402600938824,5.2408092912332105,Microglia
-13.036034242933248,-3.716978937755437,Endothelial
1.8958946301288853,11.669704287876275,Neural
-9.985144274061176,6.539906829227595,Astrocyte
-8.913080828016255,9.864586680759578,Astrocyte
12.633061750108745,3.0075932439462236,Microglia
-13.221770899122212,-4.162876278529973,Endothelial
-1.0613246129207363,14.576363414158015,Choroid
-7.1945754454784145,-13.28267303145966,OPC/COP/OLG
-13.33860649329946,-4.547979027400823,Endothelial
-8.860404627149556,9.43925556503692,Astrocyte
13.019326551134135,6.158355086673884,Microglia
-13.19830764991567,-3.885412842403264,Endothelial
10.08716998832896,6.751634925235896,Microglia
10.356836660081887,1.58421453796783,Microglia
-8.46522201759145,9.991015284885554,Astrocyte
-8.709213869398091,10.055680125583796,Astrocyte
8.684166295702006,1.5710378583566238,Microglia
-14.893300669019672,1.2684755023614456,Mural
12.623888356859233,5.870684951175837,Microglia
-0.3825439975909939,14.191541522373347,Choroid
-8.856072084730123,8.073329776157527,Astrocyte
1.25654481189921,10.954512446750789,Neural
12.198595388109233,6.10647377334991,Microglia
-0.5104744003467312,14.657355159153132,Choroid
-13.51417221290395,4.68601831756988,Fibroblast
12.853929860765485,6.205363124241023,Microglia
1.2802247835941565,10.391530841221003,Neural
1.6169726683445225,11.248750537265924,Neural
-1.0757460759334316,14.071835368503718,Choroid
12.742823941881204,4.09713539444366,Microglia
