panel,group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
non-neoplastic,Primary,NKTB,0.060425685425685424,5544,0.060425685425685424,930,0.3602150537634409,2.331636732907833,0.15449021225283627,2
non-neoplastic,Primary,Choroid,0.0027056277056277055,5544,0.0027056277056277055,977,0.015353121801432957,2.331636732907833,0.006584697172052937,2
non-neoplastic,Primary,Endothelial,0.03535353535353535,5544,0.03535353535353535,1947,0.10066769388803287,2.331636732907833,0.04317469032257357,2
non-neoplastic,Primary,Mural,0.006854256854256854,5544,0.006854256854256854,640,0.059375,2.331636732907833,0.025464944501003887,2
non-neoplastic,Primary,Fibroblast,0.018037518037518036,5544,0.018037518037518036,378,0.26455026455026454,2.331636732907833,0.11346118407576224,2
non-neoplastic,Recurrent,Astrocyte,0.07030527289546716,5405,0.07030527289546716,5110,0.07436399217221135,3.1004067466962133,0.02398523750196759,3
non-neoplastic,Recurrent,OPC/COP/OLG,0.06364477335800185,5405,0.06364477335800185,4909,0.07007537176614381,3.1004067466962133,0.022601993058109546,3
non-neoplastic,Recurrent,Neural,0.01572617946345976,5405,0.01572617946345976,1442,0.05894590846047157,3.1004067466962133,0.019012314601393576,3
non-neoplastic,Recurrent,Ependymal,7.400555041628122e-4,5405,7.400555041628122e-4,229,0.017467248908296942,3.1004067466962133,0.0056338572114481445,3
non-neoplastic,Recurrent,Microglia,0.18242368177613322,5405,0.18242368177613322,9587,0.10284760613330551,3.1004067466962133,0.03317229464904877,3
non-neoplastic,Recurrent,Macrophage,0.44736355226642,5405,0.44736355226642,3457,0.6994503905120046,3.1004067466962133,0.22559955762492695,3
non-neoplastic,Recurrent,Dendritic,0.07955596669750231,5405,0.07955596669750231,617,0.6969205834683955,3.1004067466962133,0.22478359789760893,3
non-neoplastic,Recurrent,Neutrophil,0.012210915818686401,5405,0.012210915818686401,122,0.5409836065573771,3.1004067466962133,0.1744879465037444,3
non-neoplastic,Recurrent,NKTB,0.08843663274745606,5405,0.08843663274745606,930,0.513978494623656,3.1004067466962133,0.1657777629246067,3
non-neoplastic,Recurrent,Choroid,5.550416281221092e-4,5405,5.550416281221092e-4,977,0.0030706243602865915,3.1004067466962133,9.90394038962353e-4,3
non-neoplastic,Recurrent,Endothelial,0.01868640148011101,5405,0.01868640148011101,1947,0.05187467899332306,3.1004067466962133,0.016731572090855695,3
non-neoplastic,Recurrent,Mural,0.003515263644773358,5405,0.003515263644773358,640,0.0296875,3.1004067466962133,0.009575356533988624,3
non-neoplastic,Recurrent,Fibroblast,0.016836262719703978,5405,0.016836262719703978,378,0.24074074074074073,3.1004067466962133,0.07764811536333854,3
