avg.exp,pct.exp,features.plot,id,avg.exp.scaled
0.1159148057754847,4.438280166435506,Olig1,Neural,-0.4496082317210863
0.6525149607377323,18.654646324549237,Plppr5,Neural,0.36694093331334593
0.041731381923800354,2.496532593619972,Pnlip,Neural,-0.3525017469373343
0.9705521468665823,22.607489597780862,Ncald,Neural,0.19483392843784184
6.112181358737817,88.4882108183079,Nsg1,Neural,2.3445970220164885
0.8842297323886547,26.629680998613036,Cntn1,Neural,-0.01828797656074328
0.5586140105143858,25.589459084604716,Mmp15,Neural,-0.3615077590511162
2.004814269970991,21.428571428571427,Fabp7,Neural,0.30622454492144263
1.0734429830559937,38.07212205270458,Zdhhc2,Neural,0.5169687557763376
5.172864108565452,82.87101248266296,Uchl1,Neural,2.331933336777743
0.7307439648839973,10.246486046037889,Tg-hPDGFB-nHA,OPC/COP/OLG,0.12019198866792197
6.9281730299761115,44.97861071501324,Lhfpl3,OPC/COP/OLG,2.1640763301833688
0.12351096371038014,6.579751476879202,Cdkn2a,OPC/COP/OLG,-0.3024104674287451
3.3860840530219702,40.08963128946832,Vxn,OPC/COP/OLG,1.8808542285237022
9.991040017474269,37.64514157669587,Pdgfra,OPC/COP/OLG,2.021386903740605
1.45548484419373,29.109798329598696,Gap43,OPC/COP/OLG,0.7965568254013299
4.712826953240071,39.66184558973314,Cacng4,OPC/COP/OLG,2.09098667826507
0.08987080007758746,5.255652882460787,Moxd1,OPC/COP/OLG,-0.22646980220106097
0.9625781263318373,26.05418618863312,Col11a1,OPC/COP/OLG,0.8216455626356193
0.6326292934276703,25.463434508046447,Sox11,OPC/COP/OLG,0.009365367499820976
0.8825160762253063,29.782033000611126,Tub,OPC/COP/OLG,0.7754808856871689
0.8863134521956566,25.646771236504378,Igfbp3,OPC/COP/OLG,0.30100768694631735
4.943281661459094,56.8547565695661,Pcdh15,OPC/COP/OLG,2.3557267494005245
3.961327855892525,48.665716031778366,Matn4,OPC/COP/OLG,2.2164487027664763
8.66232559669145,95.7221430026482,Sox10,OPC/COP/OLG,2.4016303240001977
7.4885945435213666,86.39234059889998,Olig1,OPC/COP/OLG,2.0400879527854094
2.9105076309443936,44.16378081075575,Plppr5,OPC/COP/OLG,2.0050084948617255
0.8517140447125349,19.27072723568955,Pnlip,OPC/COP/OLG,0.8375822623657211
5.437125541456159,79.42554491749847,Ncald,OPC/COP/OLG,1.9790090343625089
1.8333797166294306,44.00081482990426,Nsg1,OPC/COP/OLG,0.8639529966933354
6.58479399122668,49.74536565491954,Cntn1,OPC/COP/OLG,1.8510031632439932
4.518362559464525,45.38602566714198,Mmp15,OPC/COP/OLG,1.381277526356356
3.9268913297360837,42.57486249745366,Fabp7,OPC/COP/OLG,0.8523423284994922
3.5505837814701677,52.96394377673661,Zdhhc2,OPC/COP/OLG,1.9556795500123525
0.7684468615522382,32.59319617029945,Uchl1,OPC/COP/OLG,0.14505102837351552
0.33993064172845866,11.475409836065573,Tg-hPDGFB-nHA,Neutrophil,-0.15838013489537384
0.2458717826199167,9.01639344262295,Lhfpl3,Neutrophil,-0.27992306386990645
0.10513784801619176,3.278688524590164,Cdkn2a,Neutrophil,-0.33175502322997447
0.13580786948224371,4.098360655737705,Vxn,Neutrophil,-0.35959673270141146
0.12857834521562378,4.918032786885246,Pdgfra,Neutrophil,-0.4987171411074541
0.21878200493683905,4.918032786885246,Gap43,Neutrophil,-0.3523855048817701
0.019452861535967852,1.639344262295082,Cacng4,Neutrophil,-0.6549840919082094
0.028922799264203988,0.819672131147541,Moxd1,Neutrophil,-0.35862676886597705
0.0766486003709609,3.278688524590164,Col11a1,Neutrophil,-0.4114823912389078
0.1861823885114963,4.098360655737705,Sox11,Neutrophil,-0.36430750365321507
0.1450117862196528,4.098360655737705,Tub,Neutrophil,-0.43963041866306035
0.05618852557447664,2.459016393442623,Igfbp3,Neutrophil,-0.6364568346267162
0.05342808723004626,1.639344262295082,Pcdh15,Neutrophil,-0.4304209406972121
0.07957603678788677,1.639344262295082,Matn4,Neutrophil,-0.4128085878972072
0.1363507818524749,5.737704918032787,Sox10,Neutrophil,-0.3661561830123654
0.14521369265217332,5.737704918032787,Olig1,Neutrophil,-0.41780772676379846
0.04677782617233581,1.639344262295082,Plppr5,Neutrophil,-0.501341650180723
0.021028157303140102,1.639344262295082,Pnlip,Neutrophil,-0.394032697544209
0.2369222827046352,5.737704918032787,Ncald,Neutrophil,-0.507050100975541
0.2560703689727833,4.918032786885246,Nsg1,Neutrophil,-0.44477977690441617
0.24939907135882067,11.475409836065573,Cntn1,Neutrophil,-0.5697713361673277
0.0762581320030372,3.278688524590164,Mmp15,Neutrophil,-0.8719665292457633
0.733185470043322,18.0327868852459,Fabp7,Neutrophil,-0.30147711635297053
0.10669741681521296,4.098360655737705,Zdhhc2,Neutrophil,-0.6321589504988426
0.2227248988479524,4.918032786885246,Uchl1,Neutrophil,-0.50051962064151
0.3882013339971879,19.93517017828201,Tg-hPDGFB-nHA,Dendritic,-0.11985856377661207
0.22715880088172202,10.85899513776337,Lhfpl3,Dendritic,-0.29990986780695705
0.25662480953868944,10.696920583468396,Cdkn2a,Dendritic,-0.1031360983723231
0.12181891899214546,8.103727714748784,Vxn,Dendritic,-0.3801470651863242
0.1468820948288642,9.886547811993516,Pdgfra,Dendritic,-0.48090430221768876
0.11679325865133777,7.13128038897893,Gap43,Dendritic,-0.4957270107398962
0.2160032493694837,12.317666126418152,Cacng4,Dendritic,-0.3740797891065023
0.09091030691232498,6.3209076175040515,Moxd1,Dendritic,-0.22428045456296336
0.11733839104937292,6.9692058346839545,Col11a1,Dendritic,-0.33529302043249015
0.0863244304807116,4.538087520259319,Sox11,Dendritic,-0.467173916925272
0.2363416771394196,10.85899513776337,Tub,Dendritic,-0.2520782591125329
0.1299768918549665,7.6175040518638575,Igfbp3,Dendritic,-0.5272981196786166
0.07693702406093489,4.538087520259319,Pcdh15,Dendritic,-0.39487979297202686
0.11312540351392668,7.13128038897893,Matn4,Dendritic,-0.3600489200596263
0.1423902548093592,8.103727714748784,Sox10,Dendritic,-0.3593017706364766
0.3299586688083378,13.776337115072934,Olig1,Dendritic,-0.23429784212994983
0.0872276912496956,4.538087520259319,Plppr5,Dendritic,-0.4292398340153166
0.08193787479162529,5.348460291734198,Pnlip,Dendritic,-0.27415353157886424
0.19470523362819464,11.507293354943274,Ncald,Dendritic,-0.5593902826333217
0.16725702630546843,10.21069692058347,Nsg1,Dendritic,-0.5627557657934773
0.3120716118377077,17.828200972447323,Cntn1,Dendritic,-0.5040741252076715
0.21915329631896768,12.317666126418152,Mmp15,Dendritic,-0.7001170887365901
0.5354434675440616,23.9870340356564,Fabp7,Dendritic,-0.43526617683580865
0.14393176348251596,9.562398703403566,Zdhhc2,Dendritic,-0.5715920298720788
0.07802367031503175,5.510534846029174,Uchl1,Dendritic,-0.7208633928078517
0.07021210697837137,3.749357986646122,Tg-hPDGFB-nHA,Endothelial,-0.40302238346429015
0.03735907871289608,1.848998459167951,Lhfpl3,Endothelial,-0.521811982715878
0.03677716174462152,2.054442732408834,Cdkn2a,Endothelial,-0.4453942403082963
0.039990104701555965,1.4381099126861838,Vxn,Endothelial,-0.5057433486308308
0.04434686690823368,2.5680534155110424,Pdgfra,Endothelial,-0.5845987779247479
0.08076914109655345,3.697996918335902,Gap43,Endothelial,-0.5495079452783875
0.021398332612198145,1.2326656394453006,Cacng4,Endothelial,-0.6519464168692969
0.017581972535248205,1.078582434514638,Moxd1,Endothelial,-0.38407958381860313
0.020170921264889948,1.694915254237288,Col11a1,Endothelial,-0.5221483442040338
0.026964094450522096,1.386748844375963,Sox11,Endothelial,-0.5329046033577842
0.05935472542081525,2.362609142270159,Tub,Endothelial,-0.6296586021572832
0.6408809921341806,8.834103749357986,Igfbp3,Endothelial,0.07569090929527719
0.017928315137975603,1.027221366204417,Pcdh15,Endothelial,-0.48562209141934204
0.021398536790714514,1.1813045711350796,Matn4,Endothelial,-0.5083097445475413
0.03265324844519571,1.9517205957883925,Sox10,Endothelial,-0.489894563191225
0.0461886388647135,2.2598870056497176,Olig1,Endothelial,-0.5287769800506491
0.03393654605211611,1.2326656394453006,Plppr5,Endothelial,-0.5248149427160665
0.02418407176753221,1.335387776065742,Pnlip,Endothelial,-0.3876477830411722
0.059425480422978495,3.184386235233693,Ncald,Endothelial,-0.7405145661039279
0.27060340733176985,13.662044170518747,Nsg1,Endothelial,-0.4262723952438021
0.060820383825960125,3.338469440164355,Cntn1,Endothelial,-0.7893949800198636
1.053111496360364,37.59630200308167,Mmp15,Endothelial,0.018344329508308947
0.11507045192619493,5.341551104262968,Fabp7,Endothelial,-0.7885657595438996
