x,y,score
Neopl-CC-I,NKTB,-0.26
Neopl-CC-I,Choroid,-0.16
Neopl-CC-I,Endothelial,-0.25
Neopl-CC-I,Mural,-0.22
Neopl-CC-I,Fibroblast,-0.17
Neopl-CC-I,Neopl-Bulk,0.67
Neopl-CC-I,Neopl-CC-I,NA
Neopl-CC-I,Neopl-CC-II,0.76
Neopl-CC-I,Neopl-CC-III,0.61
Neopl-CC-I,Neopl-OPC,0.47
Neopl-CC-I,Neopl-COP,0.13
Neopl-CC-I,Neopl-NC,0.14
Neopl-CC-I,Neopl-ACR,0.09
Neopl-CC-I,Neopl-ECM,0.55
Neopl-CC-I,Neopl-RNA-low,0.54
Neopl-CC-II,Astrocyte TE,-0.19
Neopl-CC-II,Astrocyte NT,-0.19
Neopl-CC-II,Astrocyte R,-0.16
Neopl-CC-II,OPC/COP/OLG,-0.1
Neopl-CC-II,Neural,0.03
Neopl-CC-II,Ependymal,-0.09
Neopl-CC-II,Microglia,-0.48
Neopl-CC-II,Macrophage,-0.36
Neopl-CC-II,Dendritic,-0.28
Neopl-CC-II,Neutrophil,-0.24
Neopl-CC-II,NKTB,-0.19
Neopl-CC-II,Choroid,-0.13
Neopl-CC-II,Endothelial,-0.21
Neopl-CC-II,Mural,-0.19
Neopl-CC-II,Fibroblast,-0.15
Neopl-CC-II,Neopl-Bulk,0.31
Neopl-CC-II,Neopl-CC-I,0.76
Neopl-CC-II,Neopl-CC-II,NA
Neopl-CC-II,Neopl-CC-III,0.78
Neopl-CC-II,Neopl-OPC,0.19
Neopl-CC-II,Neopl-COP,0.02
Neopl-CC-II,Neopl-NC,0.03
Neopl-CC-II,Neopl-ACR,-0.01
Neopl-CC-II,Neopl-ECM,0.34
Neopl-CC-II,Neopl-RNA-low,0.36
Neopl-CC-III,Astrocyte TE,-0.2
Neopl-CC-III,Astrocyte NT,-0.2
Neopl-CC-III,Astrocyte R,-0.15
Neopl-CC-III,OPC/COP/OLG,-0.11
Neopl-CC-III,Neural,0.03
Neopl-CC-III,Ependymal,-0.08
Neopl-CC-III,Microglia,-0.52
Neopl-CC-III,Macrophage,-0.39
Neopl-CC-III,Dendritic,-0.3
Neopl-CC-III,Neutrophil,-0.24
Neopl-CC-III,NKTB,-0.2
Neopl-CC-III,Choroid,-0.12
Neopl-CC-III,Endothelial,-0.21
Neopl-CC-III,Mural,-0.18
Neopl-CC-III,Fibroblast,-0.12
Neopl-CC-III,Neopl-Bulk,0.39
Neopl-CC-III,Neopl-CC-I,0.61
Neopl-CC-III,Neopl-CC-II,0.78
Neopl-CC-III,Neopl-CC-III,NA
Neopl-CC-III,Neopl-OPC,0.21
Neopl-CC-III,Neopl-COP,0.04
Neopl-CC-III,Neopl-NC,0.02
Neopl-CC-III,Neopl-ACR,0.03
Neopl-CC-III,Neopl-ECM,0.37
Neopl-CC-III,Neopl-RNA-low,0.36
Neopl-OPC,Astrocyte TE,-0.02
Neopl-OPC,Astrocyte NT,0
Neopl-OPC,Astrocyte R,-0.04
Neopl-OPC,OPC/COP/OLG,0.27
Neopl-OPC,Neural,0.14
Neopl-OPC,Ependymal,-0.07
Neopl-OPC,Microglia,-0.57
Neopl-OPC,Macrophage,-0.56
Neopl-OPC,Dendritic,-0.41
Neopl-OPC,Neutrophil,-0.32
Neopl-OPC,NKTB,-0.31
Neopl-OPC,Choroid,-0.15
Neopl-OPC,Endothelial,-0.23
Neopl-OPC,Mural,-0.2
Neopl-OPC,Fibroblast,-0.19
Neopl-OPC,Neopl-Bulk,0.72
Neopl-OPC,Neopl-CC-I,0.47
Neopl-OPC,Neopl-CC-II,0.19
Neopl-OPC,Neopl-CC-III,0.21
Neopl-OPC,Neopl-OPC,NA
Neopl-OPC,Neopl-COP,0.45
Neopl-OPC,Neopl-NC,0.22
Neopl-OPC,Neopl-ACR,0.19
Neopl-OPC,Neopl-ECM,0.51
Neopl-OPC,Neopl-RNA-low,0.39
Neopl-COP,Astrocyte TE,-0.04
Neopl-COP,Astrocyte NT,-0.02
Neopl-COP,Astrocyte R,-0.03
Neopl-COP,OPC/COP/OLG,0.43
Neopl-COP,Neural,0.08
Neopl-COP,Ependymal,-0.02
Neopl-COP,Microglia,-0.33
Neopl-COP,Macrophage,-0.32
Neopl-COP,Dendritic,-0.21
Neopl-COP,Neutrophil,-0.17
Neopl-COP,NKTB,-0.16
Neopl-COP,Choroid,-0.05
Neopl-COP,Endothelial,-0.1
Neopl-COP,Mural,-0.08
Neopl-COP,Fibroblast,-0.06
Neopl-COP,Neopl-Bulk,0.26
Neopl-COP,Neopl-CC-I,0.13
