Level_4,nCount_RNA,nFeature_RNA,percent.mt
Microglia,6036,2715,1.0106030483764084
Microglia,6753,2679,0.6219458018658374
Macrophage,1489,961,0.47011417058428473
Microglia,10655,3610,0.2721726888784608
Astrocyte TE,1727,1073,1.1001737116386796
Microglia,10179,3729,0.2652519893899204
Astrocyte TE,3078,1862,5.847953216374268
Microglia,10863,3692,0.7272392525085152
Choroid,4427,1827,1.7393268579173253
Endothelial,16864,5230,1.0555028462998102
OPC/COP/OLG,16001,4570,2.9998125117180177
Choroid,2306,1398,0
Microglia,16650,4444,2.024024024024024
Microglia,1875,619,2.6133333333333333
Microglia,7311,2819,0.6975789905621665
Microglia,7073,2801,0.6644987982468542
OPC/COP/OLG,13551,5477,0.28780163825547933
Endothelial,12322,4277,1.2984905047881836
Microglia,10570,3758,0.4446546830652791
Astrocyte TE,2534,1552,3.117600631412786
OPC/COP/OLG,20957,6280,0.6489478455885861
OPC/COP/OLG,7142,3331,3.0383646037524503
OPC/COP/OLG,8336,3185,7.06573896353167
Astrocyte NT,2906,1524,6.744666207845835
Astrocyte TE,3772,2090,0.7423117709437964
Astrocyte NT,3541,2007,1.355549279864445
OPC/COP/OLG,11418,3901,6.1131546680679625
Endothelial,22531,5807,1.442457059162931
Neural,23052,6009,0.22123893805309736
Microglia,8524,3281,0.1290473955889254
Astrocyte TE,4084,2113,3.819784524975514
Microglia,8752,3155,0.21709323583180987
Fibroblast,15723,4824,0.5215289702982892
Ependymal,15497,5238,1.3809124346647739
Astrocyte TE,1291,772,5.267234701781565
Ependymal,4150,2377,0.9156626506024097
Microglia,9780,3426,0.3885480572597137
Astrocyte TE,2902,1648,2.7911784975878704
Astrocyte TE,5000,2257,1.24
Choroid,4632,1742,2.2452504317789295
Microglia,10210,3555,0.3134182174338883
Endothelial,4314,2367,0.6722299490032452
Astrocyte TE,3206,1881,2.8072364316905802
Microglia,17108,3905,1.5197568389057752
Microglia,16368,4411,1.466275659824047
Mural,27980,6441,0.6540385989992852
Astrocyte TE,3602,2089,1.6657412548584118
Astrocyte TE,3294,1452,0.33394049787492414
Astrocyte NT,2092,1353,3.5372848948374758
Astrocyte NT,5523,2495,1.3398515299655984
Astrocyte TE,2226,1379,2.7403414195867026
Choroid,4357,2086,2.7082855175579525
Endothelial,10294,3926,0.8548669127647173
Mural,4479,2341,1.0716677829872738
Astrocyte TE,1045,694,7.368421052631578
Astrocyte TE,4900,2534,1.530612244897959
Ependymal,17121,5537,0.3446060393668594
Astrocyte NT,2233,1412,3.3139274518584867
Astrocyte TE,4783,2398,5.268659836922433
OPC/COP/OLG,19837,4946,2.9994454806674398
Microglia,15968,4594,0.7890781563126251
Astrocyte TE,5875,2610,0.39148936170212767
Endothelial,5916,2945,1.5212981744421907
Astrocyte TE,3164,1750,2.9077117572692797
Microglia,5752,2577,0.7301808066759388
Astrocyte TE,938,616,1.4925373134328357
OPC/COP/OLG,4221,2555,3.553660270078181
Microglia,15001,4084,0.9066062262515832
OPC/COP/OLG,16197,6017,0.5433104895968389
Astrocyte TE,4254,2341,1.222378937470616
Microglia,3619,1478,2.43161094224924
Choroid,1305,691,2.0689655172413794
Ambiguous,2038,1634,0.6378802747791953
Mural,5823,2824,1.0303967027305512
Microglia,10750,3715,0.986046511627907
Ependymal,2847,1635,0.17562346329469616
OPC/COP/OLG,14118,4299,3.683241252302026
Ambiguous,9883,4606,1.0725488212081353
Astrocyte TE,1469,786,2.042205582028591
Microglia,2567,1137,3.1554343591741336
Mural,4211,2255,1.0923771075753979
OPC/COP/OLG,16519,6091,0.3571644772685998
Astrocyte TE,3780,2068,2.8306878306878307
Microglia,17136,4337,1.1554621848739497
Astrocyte TE,5188,2551,1.599845797995374
Mural,17313,5059,1.4555536302200658
Ependymal,9678,4060,2.1078735275883447
Astrocyte TE,4472,2193,1.095706618962433
Astrocyte NT,4837,2404,0.20673971469919372
Astrocyte TE,1344,757,0.3720238095238095
Astrocyte TE,5294,2923,1.0766905931242916
Microglia,14960,4181,1.9852941176470587
Astrocyte TE,3131,1893,1.7566272756307888
Microglia,2238,864,3.395889186773905
Astrocyte NT,3388,1652,0.7969303423848878
OPC/COP/OLG,18506,4536,1.1725926726467093
Astrocyte TE,2333,1469,1.3716245177882553
Microglia,9160,3386,0.851528384279476
Endothelial,11441,4328,0.9614544183200769
Astrocyte NT,2968,1803,0.13477088948787064
Astrocyte TE,1661,722,5.478627332931969
Astrocyte NT,2311,1438,0.865426222414539
Astrocyte NT,2550,1535,5.333333333333334
Neural,7150,3475,0.6573426573426574
OPC/COP/OLG,20309,4891,4.31335860948348
Mural,6941,3149,1.0085002161071892
