Level_4,Hypoxia_score
Neopl-Bulk,-0.03013076926920999
Neopl-Bulk,0.0682813722461314
Neopl-Bulk,0.23201185802655733
Neopl-CC-III,-0.05452402746240975
Neopl-OPC,-0.03785605062613134
Neopl-Bulk,0.025561562080859968
Neopl-CC-III,-0.01891322622332625
Neopl-COP,-0.09062679311240937
Neopl-CC-I,-0.06345187386147161
Neopl-OPC,0.011505683926236077
Neopl-RNA-low,0.05658840212892269
Neopl-Bulk,-0.040832969696322274
Neopl-Bulk,0.013128847546227895
Neopl-CC-II,-0.08868733249159869
Neopl-Bulk,0.044434837106252956
Neopl-CC-III,-0.04750112880324259
Neopl-CC-II,-0.04592487268990836
Neopl-Bulk,-0.0031710469815805498
Neopl-CC-III,-0.01610808310510564
Neopl-Bulk,0.0964216819789897
Neopl-CC-II,-0.07674013434194599
Neopl-CC-II,0.08520961758452406
Neopl-CC-II,-0.06547060776637281
Neopl-COP,0.19152997293451268
Neopl-CC-III,0.022136909685099737
Neopl-CC-I,-0.013248536637478547
Neopl-Bulk,-0.027065196359373878
Neopl-CC-II,0.014078108204108042
Neopl-Bulk,0.04956143009920533
Neopl-OPC,0.00342128670620212
Neopl-CC-III,-0.03296325435775316
Neopl-Bulk,-0.06336164030305302
Neopl-CC-II,-0.04871286274818454
Neopl-Bulk,0.05212205117292312
Neopl-Bulk,0.08982449103048912
Neopl-Bulk,0.005522554257861689
Neopl-CC-III,-0.02020006491601145
Neopl-COP,-0.0624215895072448
Neopl-Bulk,-0.006525580457788116
Neopl-Bulk,0.0037989280888083843
Neopl-Bulk,0.22665731124595623
Neopl-Bulk,0.025085057308221914
Neopl-Bulk,-0.008780865701971508
Neopl-Bulk,0.08249327952651325
Neopl-CC-II,-0.054761754338233326
Neopl-CC-I,-0.04712835134852361
Neopl-CC-I,-0.001301152713492404
Neopl-ACR,0.1656926954765423
Neopl-COP,-0.022552552591105057
Neopl-CC-I,-0.02327260974311679
Neopl-Bulk,0.258398818398002
Neopl-OPC,-0.04837996011107756
Neopl-Bulk,-0.00702485342568232
Neopl-Bulk,0.0938612032533897
Neopl-Bulk,0.010668111766076016
Neopl-CC-I,-0.07854200763700414
Neopl-CC-II,0.003995907301262591
Neopl-Bulk,0.03386496544937667
Neopl-CC-I,-0.07311266033676272
Neopl-CC-III,-0.06537057794951068
Neopl-CC-II,0.1308405387572671
Neopl-ACR,0.1799636355755686
Neopl-Bulk,0.1934146570142231
Neopl-Bulk,-0.005314992143225339
Neopl-Bulk,0.12243579382725861
Neopl-Bulk,0.0696563206566238
Neopl-CC-II,-0.06704543715536698
Neopl-Bulk,-0.0659305336341851
Neopl-CC-III,5.19020895354938e-4
Neopl-Bulk,0.15330340769403644
Neopl-Bulk,0.04245453409442673
Neopl-CC-II,-0.012848213728134883
Neopl-RNA-low,0.010922024706045419
Neopl-Bulk,0.016957913776578126
Neopl-Bulk,-0.0693498461937761
Neopl-Bulk,0.011483208338130213
Neopl-CC-III,-0.023313791549143925
Neopl-CC-III,-0.03526899688344798
Neopl-Bulk,-0.04525665860626171
Neopl-Bulk,0.08678946374043317
Neopl-CC-II,0.025849133512780897
Neopl-CC-II,-0.016081386369662
Neopl-Bulk,0.19817130373920971
Neopl-CC-II,-0.021768209592837595
Neopl-Bulk,-0.04829442249977478
Neopl-CC-II,0.018001343253070623
Neopl-CC-III,-0.0749376744698575
Neopl-Bulk,-0.024699418775096182
Neopl-Bulk,0.05247130427181179
Neopl-Bulk,0.11698329318826339
Neopl-CC-III,-0.01309476242641966
Neopl-CC-II,-0.014193891339840614
Neopl-Bulk,-0.011633855680519556
