module,px,py,score
Richards Developmental,-3272,-2269,0.0832898683082208
Richards Developmental,-3063,-2955,0.04844412079917182
Richards Developmental,-670,-1549,0.0503011949675419
Richards Developmental,-3691,-898,0.06438273881821853
Richards Developmental,-2939,-1340,0.05621277754790445
Richards Developmental,-1204,-860,0.0660851391349074
Richards Developmental,-951,-2634,0.011646714177432078
Richards Developmental,-2195,-2653,0.08755723624178781
Richards Developmental,-2636,-3580,0.02496000701877156
Richards Developmental,-4067,-615,0.060689633866012005
Richards Developmental,-2771,-752,0.09479198171923633
Richards Developmental,-3203,-685,0.09808008956560066
Richards Developmental,-1329,-2537,0.015145845597185015
Richards Developmental,-2628,-2710,0.10139457566994635
Richards Developmental,-2510,-1780,0.07472251342789128
Richards Developmental,-1421,-982,0.0825108522433022
Richards Developmental,-839,-2262,0.038699362027903375
Richards Developmental,-3647,-1924,0.052449932229298044
Richards Developmental,-1168,-2694,0.013711286613189731
Richards Developmental,-853,-3629,0.0561629747948737
Richards Developmental,-1754,-1849,0.04236734924735268
Richards Developmental,-3651,-2297,0.07203722603356627
Richards Developmental,-1125,-3844,0.005729168201613427
Richards Developmental,-1094,-613,0.08731132462111584
Richards Developmental,-3857,-1238,0.04532324860257793
Richards Developmental,-1170,-2880,0.0043820270662919755
Richards Developmental,-3592,-1831,0.05647501719697612
Richards Developmental,-779,-1610,0.061301996156859453
Richards Developmental,-3660,-3229,0.03651865716722463
Richards Developmental,-1763,-2719,0.040551092409718464
Richards Developmental,-890,-1920,0.0426486261207666
Richards Developmental,-3493,-2702,0.03615956686682492
Richards Developmental,-3006,-2738,0.1018082575291489
Richards Developmental,-1367,-890,0.08520371868314476
Richards Developmental,-3046,-1277,0.08139398577595128
Richards Developmental,-2360,-2993,0.04239398904170899
Richards Developmental,-1850,-605,0.07283877303901393
Richards Developmental,-2684,-2990,0.05775203886628952
Richards Developmental,-848,-3194,0.020005048782026053
Richards Developmental,-2358,-2744,0.08938552584233506
Richards Developmental,-3500,-3448,0.025704324033816894
Richards Developmental,-2956,-3142,0.07641205707433188
Richards Developmental,-631,-3072,0.03667319195391967
Richards Developmental,-1277,-2755,0.013648648974472828
Richards Developmental,-3258,-840,0.07728782340350165
Richards Developmental,-2036,-2996,0.08376724331709058
Richards Developmental,-1862,-1786,0.06955117346977296
Richards Developmental,-942,-1702,0.06033708963707218
Richards Developmental,-2191,-2280,0.08518767553690557
Richards Developmental,-2032,-2561,0.07592685619632727
Richards Developmental,-1103,-1545,0.06786367199075904
Richards Developmental,-571,-2420,0.02180961744770943
Richards Developmental,-1014,-3534,0.01916840534010339
Richards Developmental,-3549,-2981,0.026844841925024843
Richards Developmental,-1157,-1575,0.06365965897530339
Richards Developmental,-2364,-3366,0.04205938148796526
Richards Developmental,-2460,-2184,0.10407602995641127
Richards Developmental,-2904,-3360,0.05887257595499307
Richards Developmental,-3172,-3078,0.0862396415443458
Richards Developmental,-3473,-652,0.08620963301003842
Richards Developmental,-1873,-2904,0.055833984727366934
Richards Developmental,-2683,-2803,0.0470857176452085
Richards Developmental,-624,-2326,0.028021823083570818
Richards Developmental,-4121,-645,0.07887847225120491
Richards Developmental,-1973,-2095,0.06243474961773772
Richards Developmental,-2772,-876,0.09881903520352928
Richards Developmental,-1923,-2500,0.049163908241374885
Richards Developmental,-2502,-910,0.07818589085319891
Richards Developmental,-3692,-960,0.07101970159312285
Richards Developmental,-3691,-836,0.0769247013184365
Richards Developmental,-1872,-2842,0.0886300222400206
Richards Developmental,-2471,-3302,0.014465437832044261
Richards Developmental,-2674,-1933,0.08807039367094148
Richards Developmental,-2994,-1433,0.08619990113281906
Richards Developmental,-2394,-911,0.0931829053512337
Richards Developmental,-2150,-3616,0.0453370543622509
Richards Developmental,-1316,-1294,0.09368739653353056
Richards Developmental,-1583,-950,0.0697043602781521
Richards Developmental,-783,-2045,0.06099351551807308
Richards Developmental,-3150,-841,0.08212739940580491
Richards Developmental,-1588,-1447,0.07579456973494021
Richards Developmental,-3059,-2582,0.08325484313984381
Richards Developmental,-1813,-2315,0.03802044891654885
Richards Developmental,-3265,-1586,0.07207152704563116
Richards Developmental,-854,-3753,0.044401063301848454
Richards Developmental,-1918,-2003,0.05643417029024468
Richards Developmental,-3810,-1953,0.049841947530226596
Richards Developmental,-1823,-3309,0.045469382779579515
Richards Developmental,-3536,-1614,0.07551002516671537
Richards Developmental,-2558,-1127,0.0583643303448701
Richards Developmental,-1964,-1164,0.07567031754269243
Richards Developmental,-1275,-2568,0.013260896056453746
Richards Developmental,-1696,-1446,0.06772974306016284
Richards Developmental,-936,-1080,0.07445356842135192
Richards Developmental,-568,-2171,0.026827742068655985
Richards Developmental,-745,-3630,0.007639543627834006
Richards Developmental,-2134,-1939,0.09050116057015628
Richards Developmental,-2564,-1748,0.07188183256014756
Richards Developmental,-1212,-1668,0.05984456198535597
Richards Developmental,-2902,-3112,0.07945847485360641
Richards Developmental,-1981,-2903,0.08484516925492853
Richards Developmental,-1542,-2286,0.031285171880952825
Richards Developmental,-1177,-3626,0.010043137286080292
Richards Developmental,-3533,-1304,0.08221405377899371
Richards Developmental,-2987,-750,0.08173116647935579
Richards Developmental,-987,-800,0.06703153289194425
Richards Developmental,-2353,-2247,0.0798360839661015
Richards Developmental,-3259,-964,0.06949767528818321
Richards Developmental,-3656,-2794,0.01961430403314357
Richards Developmental,-2635,-3456,0.040786857856827896
Richards Developmental,-1870,-2594,0.02663587455795692
Richards Developmental,-2234,-1192,0.0700638865950541
Richards Developmental,-3280,-3077,0.060537329837710555
Richards Developmental,-2077,-1660,0.055324912797594564
Richards Developmental,-3435,-2361,0.07665415204113973
Richards Developmental,-3176,-3513,0.046420933231497
Richards Developmental,-1595,-2192,0.04237305665971314
Richards Developmental,-1658,-3093,0.022927769212475593
Richards Developmental,-2669,-1374,0.08633048194388043
Richards Developmental,-3703,-2079,0.06347738818144723
Richards Developmental,-1221,-2600,0.012740408336499018
Richards Developmental,-1341,-3779,0.01620396343078795
Richards Developmental,-2391,-662,0.09223972454260582
Richards Developmental,-985,-614,0.07996876265746956
Richards Developmental,-3100,-1246,0.06959693271477047
Richards Developmental,-1530,-1043,0.09110608782330759
Richards Developmental,-3159,-1711,0.06480484090885097
Richards Developmental,-1327,-2412,0.025320851338870493
Richards Developmental,-1759,-2284,0.04197806411083166
Richards Developmental,-3488,-2267,0.07031940462358469
Richards Developmental,-1716,-3434,0.019785113203798735
Richards Developmental,-852,-3567,0.040819387533472154
Richards Developmental,-3761,-2482,0.04940422504893181
Richards Developmental,-3097,-935,0.06673997903775547
Richards Developmental,-1104,-1731,0.03758070739195678
Richards Developmental,-830,-1330,0.047825755653292196
Richards Developmental,-560,-1364,0.008908601748567974
Richards Developmental,-726,-1704,0.06329029504943048
Richards Developmental,-2845,-2771,0.09404351988348447
Richards Developmental,-3698,-1582,0.06138348741813722
Richards Developmental,-1278,-2879,0.03428676336694021
Richards Developmental,-3227,-3233,0.04676240750592696
Richards Developmental,-2468,-2930,0.07167780531012156
Richards Developmental,-1390,-3313,0.0149666669534625
Richards Developmental,-2620,-1965,0.09764589522945596
Richards Developmental,-1497,-3188,0.013803299350053685
Richards Developmental,-3318,-1430,0.07501826744687665
Richards Developmental,-675,-2046,0.0453015418966463
Richards Developmental,-4286,-861,0.08876791156383199
Richards Developmental,-2614,-1281,0.06351069947432506
Richards Developmental,-665,-990,0.05424691117330396
Richards Developmental,-3708,-2576,0.05760868763541481
Richards Developmental,-2741,-3206,0.0841347731854189
Richards Developmental,-1267,-1761,0.030437465642330422
Richards Developmental,-2729,-1964,0.07538206696091922
Richards Developmental,-1393,-3624,0.0059230541552561106
Richards Developmental,-1094,-675,0.09901370260195327
Richards Developmental,-3275,-2580,0.06818680675550165
Richards Developmental,-2906,-3547,0.056771600749777815
Richards Developmental,-553,-618,0.030281178888456294
Richards Developmental,-1822,-3247,0.03158884461643707
