niche_name,cell_type,mw,z
Tumor margin (neuronal / reactive-astro),OPC-COP-OLG,0.06230485455080654,-0.4029762933229483
Tumor margin (neuronal / reactive-astro),Vascular,0.03678509676250183,0.054332538878726744
Reactive-astro / immune,Astrocyte R,0.24265313390555876,2.635016311192108
Reactive-astro / immune,Astrocyte TE-NT,0.036858364512783244,-0.34340198228053875
Reactive-astro / immune,Choroid,0.004745938125497897,-0.297710834809711
Reactive-astro / immune,Ependymal,0.028162694408738545,0.49138693210818324
Reactive-astro / immune,Immune-other,0.009858542648828647,2.5392772317295638
Reactive-astro / immune,Myeloid,0.0885988863470266,2.7142628345788773
Reactive-astro / immune,Neopl-ACR,0.03393479831616679,1.5802291220667284
Reactive-astro / immune,Neopl-Bulk,0.0643318999049174,-0.3326332305983861
Reactive-astro / immune,Neopl-COP,0.0368447172494435,1.4875265642924869
Reactive-astro / immune,Neopl-ECM,0.036358868079430715,0.7105667649715905
Reactive-astro / immune,Neopl-OPC,0.03891656153409305,-0.4926678234641754
Reactive-astro / immune,Neuron,0.10481854451477153,-0.5477188399767449
Reactive-astro / immune,OPC-COP-OLG,0.19825842534385463,0.2630015111930262
Reactive-astro / immune,Vascular,0.07565862510888875,2.089369663028283
Peritumoral parenchyma,Astrocyte R,0.03537570839289853,-0.5597087455629476
Peritumoral parenchyma,Astrocyte TE-NT,0.11496872953188067,0.6686067499579641
Peritumoral parenchyma,Choroid,0.012118760351257852,-0.26244174816081306
Peritumoral parenchyma,Ependymal,0.009347712517782906,-0.36081115930263863
Peritumoral parenchyma,Immune-other,0.0024832161292183117,-0.6975516135780373
Peritumoral parenchyma,Myeloid,0.014059221615342496,-0.6235792419911101
Peritumoral parenchyma,Neopl-ACR,0.008222241900234725,-0.6724865968697401
Peritumoral parenchyma,Neopl-Bulk,0.01565625442866138,-0.5621801468570938
Peritumoral parenchyma,Neopl-COP,0.017921527476670026,-0.3211899649578175
Peritumoral parenchyma,Neopl-ECM,0.01385993985829094,-0.48597728428189446
