gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Tpbg,0.44334490516151087,-0.23429509531904058,0.3,0.265,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Arhgef12,0.923083396183168,-0.23455138101521,0.702,0.638,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Dlg1,0.8543764458936034,-0.2345682486027023,0.445,0.401,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Txndc15,0.6793155506851223,-0.23534724505350657,0.598,0.546,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pnkd,0.328014407633019,-0.2361170072929395,0.433,0.372,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Phactr3,0.8538473689536807,-0.23626515116028468,0.233,0.226,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rab5c,0.5761252449887087,-0.2363589731249689,0.756,0.663,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Arpc4,0.10461550429640133,-0.2363645514115219,0.316,0.255,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tada2b,0.4726835562620739,-0.23665766570803903,0.235,0.209,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mtfr1l,0.6745903362620623,-0.23670001644212946,0.302,0.295,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Aga,0.8301982788664137,-0.23687242443733303,0.158,0.15,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ssr3,0.4535056477782107,-0.23739546038863557,0.661,0.604,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Wasf2,0.8294554628278781,-0.2374661143065706,0.251,0.234,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Fahd1,0.15000391527540272,-0.23752459960311256,0.153,0.119,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Irs2,0.2276363460366036,-0.2382076452686125,0.524,0.44,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Maoa,0.4170857626252635,-0.23896288695523116,0.321,0.276,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Crem,0.009553083694268855,-0.2391238868120084,0.388,0.285,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nosip,0.7324380357843218,-0.23957346742224606,0.196,0.199,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Gpaa1,0.6283971446014538,-0.23975793016659686,0.205,0.185,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Mbtps2,0.35425050252411694,-0.2402095929505077,0.201,0.17,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ifitm2,0.08795732628391355,-0.24040433734015676,0.526,0.543,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
C2cd2l,0.11498610309120587,-0.24102691924735575,0.3,0.245,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ube2z,0.008256344356484558,-0.24102978309069745,0.415,0.313,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Cnn3,5.040198315436977e-4,-0.242000674111293,0.946,0.958,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Kank2,0.61167630932437,-0.24214468178372228,0.192,0.177,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Vstm4,0.3141157712385153,-0.24263710864112786,0.126,0.146,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
