geneset,Astrocyte R,Astrocyte TE/NT,Ependymal,Neopl-ACR,Neopl-Bulk,Neopl-CC-I,Neopl-CC-II,Neopl-CC-III,Neopl-COP,Neopl-ECM,Neopl-NC,Neopl-OPC,Neopl-RNA-low,Neural,OPC/COP/OLG
Cahoy_JNeurosci_2009_neuron,-1.137560050941425,-1.3284418292271587,-0.8242018052461516,-0.3305870468945847,0.4060054772090514,0.19822068987577088,-0.006950292484001764,-0.04088494176641381,-0.5642275948286856,-0.16607679069274747,2.7783465119172104,0.24664120026572792,0.33303692015148073,3.0379310000570077,-0.7773090875505415
Cahoy_JNeurosci_2010_astro_young,-0.8655743845216066,-1.9570359859372721,-1.5731236268213218,-0.02312833397383035,0.20826878596954831,0.73605460001787,1.2234832216011822,1.0649547005016147,-0.6102035058205026,0.23523302899079143,-0.6623127624775115,-0.1673170714753417,-0.3720808400651316,-0.1507911746217544,-0.9160386615605784
Cahoy_JNeurosci_2012_OPC,0.019548690976129237,-0.20880028627488373,-1.3363174508501672,0.07166468310711598,0.30257179398596723,0.3747680279554321,0.4495696260580843,0.27903355157732557,-0.8975486967668233,0.12462920094708332,0.047648441968066634,0.7972108896618431,-0.20207497754156345,0.0315948005132825,-1.5733500446437996
Neftel_Cell_2019_G1S,-0.45272807760659634,-0.5535166281579351,-0.5420185537794605,-0.4516995092852708,-0.42919947194395885,1.473313256113832,2.1644001298679276,0.22598362100215758,-0.541202486971802,-0.04187589561109153,-0.21517977724284876,-0.4870430114322586,0.0515742600137751,-0.19851906219209958,-0.5403129336379472
Neftel_Cell_2019_G2M,-0.35103142851347974,-0.4197182080174203,-0.27696441903012375,-0.4220060126472871,-0.43193299861610135,-0.2560199139137435,0.9564516710759932,1.8976617555031698,-0.41446612083043877,-0.32834744116494097,-0.4222299433501946,-0.4419615397680768,-0.292574428931221,-0.2652605378237735,-0.44775600575654595
Neftel_Cell_2019_NPC1,-1.2393213756680166,-1.6870756236800877,-2.0078263390169533,-0.6135285939256916,0.46428523369049124,0.3634603381552594,0.17782342270057916,0.10492895363374731,0.5158788933166938,0.3613977890780257,-0.6928709026371639,0.7736094531143897,-0.653644377316637,0.7877590986894043,-0.3555298315756662
Nowakowski_Science_2017_EN-V1-2_upreg,-1.245587699411395,-1.6922453699980462,-2.2789235565120123,-0.41081961747663504,0.6349284315745906,0.33084042625802995,-0.2628446511067365,-0.14741697861486747,-0.016893977870501804,0.014175346609574941,0.46663630856231336,0.2604436127184898,-0.45773557051783853,1.49232695852203,-0.07961551603382888
Nowakowski_Science_2017_IN-CTX-MGE1_upreg,-1.4516685867300403,-1.399705970000677,-1.8106151539606357,-0.5064566481184231,0.3252964247492733,0.3133868100132648,0.18234468365137607,0.16501568188465685,-0.06553182866462158,0.13641784797359396,-0.8364684233517731,0.18719964248215698,-0.3047006663873495,2.153252587521639,-0.41464193004639566
Nowakowski_Science_2017_IPC-div1_upreg,-1.0189048611433642,-1.1453287781067798,-0.829315047460552,-0.6501280854172079,-0.2219601522792513,0.36062748707924774,1.4481893161669201,1.5962631730627481,-0.5436531692897772,-0.11611532127484284,-0.8413802376872849,-0.49210518961202254,-0.2253934476067582,0.028853964340040623,-0.7928937621582772
Nowakowski_Science_2017_IPC-div2_upreg,-0.8968686327679988,-0.9982182200031018,-0.8018747654459955,-0.699838188676413,-0.24443454144794147,0.7964261021712624,1.8100005342156278,1.2450270257062404,-0.7475422303051305,0.03541213468494879,-0.9138020660870144,-0.644732447481436,-0.08513606802226097,-0.2512083840412335,-0.9651936236875609
