Groups,Gene,Avg.Exp,P.Exp
Non-Neoplastic (other),Id3,0.11718027718442563,11.063829787234042
Non-Neoplastic (other),Id4,0.29650989693136054,17.41641337386018
Non-Neoplastic (other),Ifitm3,0.08251133294272991,6.139817629179331
Non-Neoplastic (other),Il1rap,0.8797278864423781,62.18844984802432
Non-Neoplastic (other),Lhfpl3,0.8967587147502843,36.246200607902736
Non-Neoplastic (other),Lrig1,0.10223041447671255,11.413373860182372
Non-Neoplastic (other),Marcksl1,1.936463905993795,86.51975683890576
Non-Neoplastic (other),Mlc1,0.10319252296453645,7.310030395136778
Non-Neoplastic (other),Ntsr2,0.06818168165884494,7.0820668693009114
Non-Neoplastic (other),Pdpn,0.10561043570922297,10.197568389057752
Non-Neoplastic (other),Slc6a11,0.15087649675444134,14.164133738601823
Non-Neoplastic (other),Sulf2,1.439715708448457,72.24924012158056
Non-Neoplastic (other),Tagln2,0.3174003089650511,23.693009118541035
Non-Neoplastic (other),Tg-hPDGFB-nHA,0.14127285384650823,8.9209726443769
Non-Neoplastic (other),Tmsb10,0.8540324485599271,49.118541033434646
Non-Neoplastic (other),Vim,0.6194386572140521,34.559270516717326
