rank,ES
2130,0.32103963202029584
2131,0.32506114429085986
2148,0.3240746076149082
2149,0.3280707758578855
2179,0.3263298287826766
2180,0.3302701314767318
2181,0.3302120999075581
2182,0.33415126885436824
2206,0.33275851119420113
2207,0.3366668321919314
2239,0.33480982197837517
2240,0.33866269001990035
2247,0.338256469035685
2248,0.3421021603422465
2258,0.34152184465051016
2259,0.3453589424613776
2307,0.34257342714104333
2308,0.34635776077318625
2315,0.34595153978897075
2316,0.3497279766414494
2332,0.34879947153467133
2333,0.35256115763701806
2372,0.35029792643924657
2373,0.3540312333421899
2590,0.34143838283151207
2591,0.3448902631591858
2678,0.3398415166410799
2679,0.343198222544697
2750,0.33907798113336923
2751,0.3423463129058165
2757,0.3419981234907747
2758,0.34525662347259256
2910,0.33643582495820085
2911,0.3395472315033494
2913,0.33943116836500214
2914,0.3425379418140678
2929,0.3416674682764633
2930,0.3447617216772356
2998,0.34081557497342885
2999,0.3438423763525089
3055,0.3405926084787856
3056,0.34355805917478
3086,0.3418171120995711
3087,0.3447547917280418
3220,0.3370365930279489
3221,0.3398577622385091
3228,0.3394515412542936
3229,0.34226220789928574
3282,0.3391865347330834
3283,0.3419481186642819
3412,0.3344620462408835
3413,0.33710798615079957
3520,0.3308986082492211
3521,0.33347463118129617
3606,0.3285419478015376
3607,0.3310387915391918
3611,0.3308066652624973
3612,0.333299711509307
3780,0.32355040788813705
3781,0.3259285649845639
3800,0.32482596517026496
3801,0.3271876403801066
3828,0.32562078801241856
3829,0.3279607095346114
3888,0.3245368469533672
3889,0.3268436070896674
4026,0.3188932821128801
4027,0.3210892686114828
4194,0.31139799655948647
4195,0.31349174465332974
4231,0.3114026081630789
4232,0.3134655540351876
4407,0.30331002942980245
4408,0.3052570494780952
4456,0.3024715341577609
4457,0.3043878606580653
4457,0.3043878606580652
4458,0.3063036383094078
4509,0.3033440282815527
4510,0.30522413408432864
4527,0.3042375974083769
4528,0.3061038061843329
4532,0.30587167990763836
4533,0.30773587885357045
4601,0.30378973214976357
4602,0.305614038577109
4663,0.3020741128575175
4664,0.30386387245918994
4804,0.2957394527748817
4805,0.2974396896361353
4845,0.2951184268691901
4846,0.2968004840209941
4905,0.29337662143974996
4906,0.2950162427004112
5042,0.28712394929279755
5043,0.2886757083490046
5216,0.2786362468819664
5217,0.280101711515461
5286,0.27609753324248043
5287,0.27752861116510413
5298,0.27689026390419413
5299,0.2783151258947079
5311,0.2776187470646244
5312,0.2790355650842416
5376,0.27532154465712916
5377,0.27669328033296886
5402,0.2752424911036281
5403,0.2765980345158203
5489,0.2716073195668881
5490,0.27291375325878164
5507,0.27192721658283
5508,0.2732259799599377
5582,0.26893164384108903
5583,0.2701893370027718
5590,0.2697831160185565
5591,0.27103511282618387
5724,0.263316914126091
5725,0.2644669454150047
5736,0.2638285981540948
5737,0.26497318972310724
5777,0.2626519269561621
5778,0.2637719280910188
5829,0.2608123180631636
5830,0.26190787121432524
6133,0.24432430575471514
6134,0.24533067424703747
6256,0.2382508228078547
6257,0.23919290661118453
6272,0.23832243307357995
6273,0.23925543819499728
6294,0.23803677524235106
6295,0.2389591774728041
6310,0.23808870393519968
6311,0.23900408098564696
6396,0.2340713976058884
6397,0.2349396578336913
6442,0.23232823722087792
6443,0.23317485308536412
6465,0.23189815856354434
6466,0.23273054324087455
6479,0.23197613284161728
6480,0.2328019183685751
6500,0.2316412869851025
6501,0.2324537535291688
6504,0.23227965882164783
6505,0.23309146305853146
6630,0.22583751691182768
6631,0.22658141712947732
6860,0.21329218778871603
6861,0.21390553567066944
6920,0.21048167308942528
6921,0.21106196806132682
6966,0.20845054744851338
6967,0.2090101169394606
7022,0.20581838063491095
7023,0.20636114953483914
7553,0.17560441787281503
7554,0.17600604281967558
7555,0.17594801125050194
7556,0.17634761869394888
7850,0.15928633735690148
7851,0.15951640320227695
